Entity,Code,Day,Central estimate,"Lower bound, 95% uncertainty interval",Upper bound,"Confirmed COVID-19 deaths (per 100,000)"
Afghanistan,AFG,2024-06-17,422.1163,152.53061,518.8153,19.709776
Albania,ALB,2024-06-17,550.91364,520.8726,584.6845,127.49265
Algeria,DZA,2024-06-17,294.5267,77.499245,464.23813,15.130595
Andorra,AND,2024-06-17,223.76707,105.41971,701.0453,199.44307
Angola,AGO,2024-06-17,149.25598,37.14853,417.57974,5.4356627
Antigua and Barbuda,ATG,2024-06-17,-136.39189,-244.94048,120.618065,157.24286
Argentina,ARG,2024-06-17,614.691,388.97656,614.691,287.75607
Armenia,ARM,2024-06-17,471.62216,421.23987,907.2889,304.69858
Australia,AUS,2024-06-17,163.19267,135.7709,163.19267,96.31698
Austria,AUT,2024-06-17,367.599,355.57343,367.599,248.5913
Azerbaijan,AZE,2024-06-17,321.8272,228.71951,622.0599,100.56038
Bahamas,BHS,2024-06-17,410.38293,247.69241,542.08276,213.31079
Bahrain,BHR,2024-06-17,258.8425,157.37122,622.1434,100.16564
Bangladesh,BGD,2024-06-17,518.3162,184.60551,780.65607,17.413595
Barbados,BRB,2024-06-17,342.35962,247.07529,365.05807,210.04236
Belarus,BLR,2024-06-17,852.3417,487.1061,953.8135,77.59527
Belgium,BEL,2024-06-17,321.26468,309.5935,321.26468,294.96262
Belize,BLZ,2024-06-17,194.02904,129.36787,289.23013,170.82939
Benin,BEN,2024-06-17,177.60036,-24.269716,453.71024,1.1846355
Bhutan,BTN,2024-06-17,-65.72443,-165.12738,74.22164,2.6891325
Bolivia,BOL,2024-06-17,546.754,497.474,750.65393,185.36649
Bosnia and Herzegovina,BIH,2024-06-17,796.25183,764.6597,809.3897,511.35764
Botswana,BWA,2024-06-17,190.75377,190.75377,695.2853,114.800026
Brazil,BRA,2024-06-17,433.6395,411.819,433.6395,333.85382
Brunei,BRN,2024-06-17,160.94974,47.73177,278.72513,39.08875
Bulgaria,BGR,2024-06-17,965.4326,953.0623,976.2477,566.8295
Burkina Faso,BFA,2024-06-17,194.56854,-7.710226,477.89505,1.777064
Burundi,BDI,2024-06-17,224.19203,-28.33556,443.05057,0.1126033
Cambodia,KHM,2024-06-17,498.48837,111.7548,533.7677,17.765665
Cameroon,CMR,2024-06-17,218.1995,52.517757,551.2477,7.143692
Canada,CAN,2024-06-17,224.95798,176.99864,237.6471,142.28287
Cape Verde,CPV,2024-06-17,189.85352,99.82488,281.61493,80.23088
Central African Republic,CAF,2024-06-17,174.99266,-22.86352,460.82916,2.216539
Chad,TCD,2024-06-17,222.954,-20.28706,540.4602,1.0511875
Chile,CHL,2024-06-17,367.35086,360.25684,371.1946,320.77377
China,CHN,2024-06-17,185.39146,33.109898,523.52435,8.578147
Colombia,COL,2024-06-17,407.60077,333.16757,433.5575,275.86523
Comoros,COM,2024-06-17,216.25865,9.498128,450.77713,19.18026
Congo,COG,2024-06-17,134.56165,-31.576887,525.46844,6.445622
Costa Rica,CRI,2024-06-17,202.09488,111.88436,237.22824,184.40446
Cote d'Ivoire,CIV,2024-06-17,138.35547,-16.950655,385.5921,
Croatia,HRV,2024-06-17,695.4473,685.8416,702.8061,479.95523
Cuba,CUB,2024-06-17,556.96185,495.33316,641.92554,77.126015
Cyprus,CYP,2024-06-17,216.03195,202.52841,220.8391,145.04837
Czechia,CZE,2024-06-17,441.88782,426.0692,442.26993,407.62784
Democratic Republic of Congo,COD,2024-06-17,331.7366,17.50306,484.99957,1.4365659
Denmark,DNK,2024-06-17,149.43564,140.02808,149.43564,164.2074
Djibouti,DJI,2024-06-17,125.3141,39.97407,569.96674,16.621214
Dominica,DMA,2024-06-17,130.10054,43.31996,487.34772,110.700554
Dominican Republic,DOM,2024-06-17,49.27271,15.951533,82.0615,39.03574
East Timor,TLS,2024-06-17,158.05852,21.945555,449.7413,10.07815
Ecuador,ECU,2024-06-17,503.92206,493.3257,503.92206,202.25652
Egypt,EGY,2024-06-17,339.14233,327.87778,362.37527,22.047935
El Salvador,SLV,2024-06-17,363.80838,174.13118,518.641,67.3533
Equatorial Guinea,GNQ,2024-06-17,103.57504,44.64817,441.406,10.146661
Eritrea,ERI,2024-06-17,231.28052,0.36773992,400.9327,3.0210152
Estonia,EST,2024-06-17,460.4492,453.3822,464.8883,236.79851
Eswatini,SWZ,2024-06-17,210.09813,180.66069,701.58673,117.070755
Ethiopia,ETH,2024-06-17,369.59207,96.996895,598.8411,6.0406294
Fiji,FJI,2024-06-17,60.584023,31.465057,513.0274,96.2555
Finland,FIN,2024-06-17,364.30722,350.0361,364.30722,205.87866
France,FRA,2024-06-17,244.31956,230.34625,244.31956,261.50867
French Guiana,GUF,2024-06-17,435.53238,19.592201,747.9716,138.4424
Gabon,GAB,2024-06-17,123.209625,11.32398,446.85117,12.629847
Gambia,GMB,2024-06-17,170.4197,-12.228846,402.65842,14.109765
Georgia,GEO,2024-06-17,662.0017,635.80725,712.1674,451.93637
Germany,DEU,2024-06-17,353.98877,345.0183,354.04156,208.09473
Ghana,GHA,2024-06-17,276.18936,7.445984,454.68253,4.4103694
Greece,GRC,2024-06-17,355.54016,337.4814,355.54016,375.0787
Greenland,GRL,2024-06-17,-286.298,-355.26868,-201.7709,37.490627
Grenada,GRD,2024-06-17,148.6619,32.778473,460.21603,203.54407
Guatemala,GTM,2024-06-17,314.3301,230.03209,466.2024,113.19553
Guinea,GIN,2024-06-17,168.51988,-43.941235,418.93295,3.3297436
Guinea-Bissau,GNB,2024-06-17,187.38681,-8.840439,520.1148,8.406415
Guyana,GUY,2024-06-17,461.14227,305.045,970.8272,158.46394
Haiti,HTI,2024-06-17,194.42868,1.8449633,398.87485,7.475919
Honduras,HND,2024-06-17,302.68857,168.45067,519.3696,106.21299
Hungary,HUN,2024-06-17,490.2902,481.8862,496.1037,506.4998
Iceland,ISL,2024-06-17,156.73393,141.12633,160.06717,48.900013
India,IND,2024-06-17,429.99173,198.48961,834.10986,37.43597
Indonesia,IDN,2024-06-17,304.1948,177.09111,735.73444,58.12061
Iran,IRN,2024-06-17,340.65387,299.2913,418.39453,164.01926
Iraq,IRQ,2024-06-17,326.1802,160.99358,567.339,57.578125
Ireland,IRL,2024-06-17,246.94342,237.77914,249.18895,187.55327
Israel,ISR,2024-06-17,202.85051,138.77037,202.85051,139.58916
Italy,ITA,2024-06-17,518.5999,497.82886,518.5999,329.39105
Jamaica,JAM,2024-06-17,220.17044,122.24206,268.6784,126.9394
Japan,JPN,2024-06-17,276.75882,252.65407,276.75882,59.756355
Jordan,JOR,2024-06-17,130.49596,93.099525,200.42195,125.45898
Kazakhstan,KAZ,2024-06-17,415.39908,404.59995,423.16418,95.19525
Kenya,KEN,2024-06-17,336.19705,48.927345,511.56775,10.486161
Kiribati,KIR,2024-06-17,81.1967,-82.91665,394.45505,18.3932
Kosovo,OWID_KOS,2024-06-17,184.22781,171.96138,219.28107,186.96703
Kuwait,KWT,2024-06-17,183.82353,138.91376,229.94629,55.997215
Kyrgyzstan,KGZ,2024-06-17,187.8143,178.31816,207.16687,14.721544
Laos,LAO,2024-06-17,469.6596,163.87889,659.1088,8.876826
Latvia,LVA,2024-06-17,604.1716,593.0004,609.2008,397.38254
Lebanon,LBN,2024-06-17,273.54874,223.90376,365.94916,190.56516
Lesotho,LSO,2024-06-17,238.55998,72.92237,445.67715,31.013353
Liberia,LBR,2024-06-17,152.51996,-40.404167,416.1452,5.471501
Libya,LBY,2024-06-17,532.1955,259.88367,743.32166,89.10818
Liechtenstein,LIE,2024-06-17,44.842323,-36.98986,126.61514,226.24434
Lithuania,LTU,2024-06-17,1096.093,1087.0033,1098.8855,348.11032
Luxembourg,LUX,2024-06-17,-3.0646982,-17.484957,-2.8169932,153.06552
Madagascar,MDG,2024-06-17,213.6085,9.909388,415.5895,4.6883326
Malawi,MWI,2024-06-17,219.18622,26.351532,441.64423,13.058657
Malaysia,MYS,2024-06-17,148.2891,121.11372,164.91707,107.65375
Maldives,MDV,2024-06-17,153.99391,82.10087,295.9934,60.291996
Mali,MLI,2024-06-17,209.23311,30.529396,462.23837,3.2202642
Malta,MLT,2024-06-17,201.49847,181.19078,202.3783,178.53288
Marshall Islands,MHL,2024-06-17,156.90688,-128.27411,485.53394,42.40036
Mauritania,MRT,2024-06-17,156.27638,42.220535,440.49402,20.44858
Mauritius,MUS,2024-06-17,200.36292,118.484535,294.51083,84.003716
Mexico,MEX,2024-06-17,511.63535,474.56348,542.89606,260.08157
Micronesia (country),FSM,2024-06-17,259.98605,15.165101,690.6123,57.972565
Moldova,MDA,2024-06-17,569.37213,542.7446,834.2407,402.60052
Monaco,MCO,2024-06-17,789.81024,619.05725,1049.2501,172.01541
Mongolia,MNG,2024-06-17,15.5377865,11.905493,19.52839,63.083004
Montenegro,MNE,2024-06-17,561.22943,519.4736,605.546,431.79114
Morocco,MAR,2024-06-17,256.5638,82.17604,402.90326,43.679096
Mozambique,MOZ,2024-06-17,329.25607,126.55972,496.7812,6.896078
Myanmar,MMR,2024-06-17,379.2174,180.03058,584.0035,36.263325
Namibia,NAM,2024-06-17,148.80191,99.65873,382.92194,142.16167
Nauru,NRU,2024-06-17,19.012691,-172.39478,435.01724,8.458806
Nepal,NPL,2024-06-17,482.6003,148.22066,636.05756,40.487377
Netherlands,NLD,2024-06-17,386.91907,376.92096,386.91907,128.3817
New Caledonia,NCL,2024-06-17,70.735,-132.58308,380.53094,109.35813
New Zealand,NZL,2024-06-17,19.17538,11.852445,22.664566,80.2848
Nicaragua,NIC,2024-06-17,292.26663,177.98465,412.60715,3.640058
Niger,NER,2024-06-17,206.40219,-1.567405,453.70547,1.2444701
Nigeria,NGA,2024-06-17,243.77348,0.09333102,446.59787,1.4138415
North Macedonia,MKD,2024-06-17,826.3936,803.3831,845.8916,542.15875
Norway,NOR,2024-06-17,221.66547,212.12312,222.27629,105.04333
Oman,OMN,2024-06-17,69.742676,62.177307,83.49608,97.83881
Pakistan,PAK,2024-06-17,329.39755,166.82306,663.68146,12.579367
Palau,PLW,2024-06-17,-17.522343,-223.88289,546.6074,56.23032
Palestine,PSE,2024-06-17,113.84387,36.190292,296.91827,107.59105
Panama,PAN,2024-06-17,253.24678,107.215416,346.38638,197.96513
Papua New Guinea,PNG,2024-06-17,174.58286,-63.894115,474.07867,6.566582
Paraguay,PRY,2024-06-17,366.02518,349.59274,382.98038,294.06284
Peru,PER,2024-06-17,660.1737,593.202,777.93524,660.1169
Philippines,PHL,2024-06-17,275.72623,246.06442,367.90094,58.670982
Poland,POL,2024-06-17,409.98438,405.07617,417.35715,314.4736
Portugal,PRT,2024-06-17,419.1075,401.44272,419.1075,272.61014
Puerto Rico,PRI,2024-06-17,682.8833,107.8873,842.0783,183.21664
Qatar,QAT,2024-06-17,83.55089,56.856552,89.48547,23.855078
Romania,ROU,2024-06-17,500.41403,481.57135,512.6288,358.98578
Russia,RUS,2024-06-17,1015.9762,820.86694,1283.3141,276.8734
Rwanda,RWA,2024-06-17,250.2864,40.939327,540.0629,10.753771
Saint Kitts and Nevis,KNA,2024-06-17,462.73105,367.5825,552.8067,98.433624
Saint Lucia,LCA,2024-06-17,290.66034,161.44118,704.8075,229.31418
Saint Vincent and the Grenadines,VCT,2024-06-17,262.46048,82.0311,451.0321,121.49358
Samoa,WSM,2024-06-17,22.454542,-134.89244,273.41055,14.40052
San Marino,SMR,2024-06-17,455.77664,413.5079,478.35294,369.36066
Sao Tome and Principe,STP,2024-06-17,107.64291,-23.132032,437.16486,35.349274
Saudi Arabia,SAU,2024-06-17,94.69169,26.7537,287.1133,29.979471
Senegal,SEN,2024-06-17,173.61223,22.89885,401.87927,11.166444
Serbia,SRB,2024-06-17,856.9464,848.9007,867.1239,265.88763
Seychelles,SYC,2024-06-17,-36.233593,-157.59813,77.65834,137.01576
Sierra Leone,SLE,2024-06-17,163.88846,-56.657684,414.5428,1.5102439
Singapore,SGP,2024-06-17,176.51334,150.91087,205.79836,35.82372
Slovakia,SVK,2024-06-17,568.3708,556.41156,578.7174,388.8588
Slovenia,SVN,2024-06-17,310.498,304.90378,318.813,467.7976
Solomon Islands,SLB,2024-06-17,151.43584,-86.271736,365.29333,25.477707
Somalia,SOM,2024-06-17,219.8706,38.316902,467.00247,7.6452537
South Africa,ZAF,2024-06-17,511.42618,485.68393,531.50745,164.47195
South Korea,KOR,2024-06-17,190.45166,125.33026,205.236,69.39408
South Sudan,SSD,2024-06-17,185.70506,51.516468,468.2981,1.333796
Spain,ESP,2024-06-17,384.46933,372.79443,384.46933,254.76921
Sri Lanka,LKA,2024-06-17,298.9693,51.216827,443.491,74.026825
Sudan,SDN,2024-06-17,336.6847,153.68433,608.6794,10.21802
Suriname,SUR,2024-06-17,337.73346,254.70692,527.66077,225.61989
Sweden,SWE,2024-06-17,249.27559,219.07164,251.5306,260.51422
Switzerland,CHE,2024-06-17,299.07022,288.57288,299.07022,161.16594
Syria,SYR,2024-06-17,135.5237,26.89987,448.7026,14.081453
Taiwan,TWN,2024-06-17,183.67606,176.08208,183.92944,
Tajikistan,TJK,2024-06-17,241.92934,109.533844,357.0192,1.2276292
Tanzania,TZA,2024-06-17,275.358,25.049576,476.85785,1.3073345
Thailand,THA,2024-06-17,314.07788,308.74808,318.3047,48.323475
Togo,TGO,2024-06-17,184.92943,-2.3365254,474.85052,3.5941727
Tonga,TON,2024-06-17,-2.997698,-164.10231,344.02216,11.422806
Trinidad and Tobago,TTO,2024-06-17,360.14594,245.82233,797.91223,293.4643
Tunisia,TUN,2024-06-17,226.85114,174.94904,554.4513,242.77728
Turkey,TUR,2024-06-17,349.36044,296.46225,393.5853,116.49527
Turkmenistan,TKM,2024-06-17,191.48164,-16.171959,344.8692,0
Tuvalu,TUV,2024-06-17,123.34867,-126.37622,439.03174,9.988014
Uganda,UGA,2024-06-17,275.5982,69.50966,462.55484,7.676583
Ukraine,UKR,2024-06-17,599.86285,514.66187,981.4814,267.77905
United Arab Emirates,ARE,2024-06-17,138.11308,50.10175,551.77673,22.934784
United Kingdom,GBR,2024-06-17,409.11884,401.59476,410.39435,340.44342
United States,USA,2024-06-17,433.76694,386.23007,476.36606,348.37347
Uruguay,URY,2024-06-17,258.99182,202.6607,279.11057,226.54666
Uzbekistan,UZB,2024-06-17,228.78206,164.67429,241.07468,2.9079292
Vanuatu,VUT,2024-06-17,-65.82143,-133.99791,267.28726,4.471972
Venezuela,VEN,2024-06-17,253.03825,42.72842,408.9961,20.756378
Vietnam,VNM,2024-06-17,428.2209,202.74718,682.414,43.344418
Western Sahara,ESH,2024-06-17,126.12173,-145.10948,596.57434,
Yemen,YEM,2024-06-17,181.55637,58.496403,502.65033,5.6484494
Zambia,ZMB,2024-06-17,303.52634,155.63748,498.64355,20.190607
Zimbabwe,ZWE,2024-06-17,314.63895,200.41026,525.8323,35.720818